,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
317,Aureobasidium pullulans var. lini,Aureobasidium pullulans var. lini,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Aureobasidium%20pullulans%20var.%20lini&spKey=NHMSYS0020535065
318,Austrapandalus grayi,Austropandalus grayi,,provided by Brian Hayden et al. 2018-06-08
319,Austrosimlim,Austrosimulium,,provided by Brian Hayden et al. 2018-06-08
320,Austrosimlium,Austrosimulium,,provided by Brian Hayden et al. 2018-06-08
321,Austrosimlium pupae,Austrosimulium,common name,provided by Brian Hayden
322,Austrosimulian aethiops,Austrosimulium,common name,provided by Brian Hayden
323,Autolytus maclearus,Autolytus maclearanus,,provided by Brian Hayden et al. 2018-06-08
324,Autrosimilium australense,Austrosimulium australense,,provided by Brian Hayden et al. 2018-06-08
325,Avarus,Alpheus avarus,,provided by Brian Hayden et al. 2018-06-08
326,axiids,Axinus,,provided by Brian Hayden et al. 2018-06-08
327,Baccinum sp.,Buccinum,typo,provided by Brian Hayden
328,bachiopods,Brachiopoda,typo,provided by Brian Hayden
329,Bacteria attached to sediment POM,Bacteria,,
330,Bactrodesmium obliquum var. suttonii,Bactrodesmium obliquum var. suttonii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bactrodesmium%20obliquum%20var.%20suttonii&spKey=BMSSYS0000002232
331,Baetid,Baetidae,,provided by Brian Hayden et al. 2018-06-08
332,Baetidea,Baetidae,,provided by Brian Hayden et al. 2018-06-08
333,baetids,Baetidea,common name,provided by Brian Hayden
334,Baetoide,Baetoidea,,provided by Brian Hayden et al. 2018-06-08
335,Baetoide naiad,Baetoidea,,provided by Brian Hayden et al. 2018-06-08
336,bagrids,Bagrridae,common name,provided by Brian Hayden
337,Bagrridae,Bagridae,,provided by Brian Hayden et al. 2018-06-08
338,Bai chrysoura,Bairdiella chrysoura,,
339,Baikal oilfish,Comephorus,,provided by Brian Hayden et al. 2018-06-08
340,Bairdiella chyrsoura,Bairdiella chrysoura,,
341,Bakerdania elliptica,Bakerdania elliptica,BIO_INFO,Found at:  http://www.organismnames.com/details.htm?lsid=565960
342,Balaeoptera roria,Balaenoptera roria,,provided by Brian Hayden et al. 2018-06-08
343,Balanius ebeneureum,Balanus eburneus,http://eol.org/pages/339613,provided by Anne Thessen on 2015-06-05
344,Balanococcus kwoni,Balanococcus kwoni,BIO_INFO,Found at:  http://www.organismnames.com/details.htm?lsid=1929660
345,balistid,Balistidae,,provided by Brian Hayden et al. 2018-06-08
346,Balistids,Balistidae,common name,provided by Brian Hayden
347,Bank seabass,Centropristis ocyurus,,
348,Baraeoptera roria,Balaeoptera roria,,mapping provided by Brian Hayden
349,Barchyuran megalops,Brachyuran megalopa,typo,provided by Brian Hayden
350,Barnacle,Cirripedia,,
351,Barnacle shell/fragments,Cirripedia,,
352,Bateacatha rinensis,Batea catharinensis,,misspelling
353,Bathus podas,Bothus podas,,provided by Brian Hayden et al. 2018-06-08
354,bathylagids,Bathylagus,,provided by Brian Hayden et al. 2018-06-08
355,Batistes capriscus,Balistes capriscus,,provided by Brian Hayden et al. 2018-06-08
356,beach fleas,Crustacea,common name,provided by Brian Hayden
357,beak of Enoploteuthidae spp.,Enoploteuthidae,common name,provided by Brian Hayden
358,Bearded brotula,Brotula barbata,,
359,Belennius marmoreus,Blennius marmoreus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=171305,assumed typo
360,belonids,Belonidae,,provided by Brian Hayden et al. 2018-06-08
361,Bembrops globoides,Bembrops gobioides,,provided by Brian Hayden et al. 2018-06-08
362,Bembrops heterus,Bembrops heterurus,,provided by Brian Hayden et al. 2018-06-08
363,benth. copepods,Copepoda,,Term corrected to scientific notation by BrianHayden
364,benth. crust.,Crustacia,,
365,benthc sediments,inorganic material,common name,provided by Brian Hayden
366,benthic algae,Algae,common name,provided by Brian Hayden
367,benthic algae/seaweeds,Algae,common name,provided by Brian Hayden
368,benthic algae/weeds,Plantae,,Term corrected to scientific notation by BrianHayden
369,benthic animals,Animalia,common name,provided by Brian Hayden
370,benthic copepods,Copepoda,,Term corrected to scientific notation by BrianHayden
371,benthic crabs,Crustacea,common name,provided by Brian Hayden
372,benthic crustaceans,Crustacea,common name,provided by Brian Hayden
373,benthic detritus,organic material,common name,provided by Brian Hayden
374,benthic diatoms,diatom,common name,provided by Brian Hayden
375,benthic fishes,Pisces,common name,provided by Brian Hayden
376,benthic fish,Pisces,common name,provided by Brian Hayden
377,benthic gastropods,gastropoda,common name,provided by Brian Hayden
378,benthic insects,Insecta,common name,provided by Brian Hayden
379,benthic invertebrates,Arthropoda,common name,provided by Brian Hayden
380,benthic sediments,inorganic material,common name,provided by Brian Hayden
381,Benthic teleosts,Teleostei,common name,provided by Brian Hayden
382,benth. invertebrates,Arthropoda,common name,provided by Brian Hayden
383,Benthysicmus,Benthesicymus,,provided by Brian Hayden et al. 2018-06-08
384,berries of unspecified plants,Plantae,common name,provided by Brian Hayden
385,Berthellina chloris,Berthelinia chloris,,provided by Brian Hayden et al. 2018-06-08
386,Bertia moriformis var. moriformis,Bertia moriformis var. moriformis,BIO_INFO,Found at: http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bertia%20moriformis%20var.%20moriformis&spKey=NHMSYS0019999396
387,Bertia moriformis var. multiseptata,Bertia moriformis var. multiseptata,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bertia%20moriformis%20var.%20multiseptata&spKey=NBNSYS0000020009
388,Beryciformes,Acanthopterygii,,provided by Brian Hayden et al. 2018-06-08
389,beryciforms,Beryciformes,typo,provided by Brian Hayden
390,bettas,Betta splendens,,provided by Brian Hayden et al. 2018-06-08
391,Bidulphia sp.,Biddulphia,Vega-Cendejas 1998,
392,Bigeye searobin,Prionotus longispinosus,,
393,bigeye,Thunnus obesus,,provided by Brian Hayden et al. 2018-06-08
394,big invertebrates,invertebrate,,provided by Brian Hayden et al. 2018-06-08
395,biocover,inorganic,,provided by Brian Hayden et al. 2018-06-08
396,Biomphlaria,Biomphalaria,,provided by Brian Hayden et al. 2018-06-08
397,birds,Aves,,
398,Bithynia inflata,Bithynia,,provided by Brian Hayden et al. 2018-06-08
399,bits of vegetation,Plantae,common name,provided by Brian Hayden
400,Bivalave,Bivalvia,,
401,Bivalia,Bivalvia,http://eol.org/pages/2215,provided by Anne Thessen on 2015-06-05
402,Bivalves,Bivalvia,,
403,bivalve spat,Bivalvia,,provided by Brian Hayden et al. 2018-06-08
404,bivalve veligers,Bivalvia,,provided by Brian Hayden et al. 2018-06-08
405,bivalvia,Bivalvia,,provided by Brian Hayden et al. 2018-06-08
406,Bivalvia Genus A,Bivalvia,Simons 1997,Genus A
407,Bivalvia Genus B,Bivalvia,Simons 1997,Genus B
408,blackcod,Anoplopoma fimbria,common name,provided by Brian Hayden
409,Black fibers,inorganic,,provided by Brian Hayden et al. 2018-06-08
410,blackfly larvae,Simulidae,common name,provided by Brian Hayden
411,blackfly,Simulidae,common name,provided by Brian Hayden
412,black/green plastic,plastic,https://github.com/EnvironmentOntology/envo/blob/master/envo.obo,provided by Jorrit Poelen
413,Blackmouth bass,Synagrops bellus,,
414,Black plastic,inorganic,,provided by Brian Hayden et al. 2018-06-08
415,Black string,inorganic,,provided by Brian Hayden et al. 2018-06-08
416,Blade Unidentified kelp juveniles,Algae,,mapping provided by Brian Hayden
417,Blady red spp.,Algae,,mapping provided by Brian Hayden
418,bleak,Alburnus alburnus,Wikipedia; js,The English common name is 'common bleak'.  This is the same as the salakka that was also in the SPIRE list.
419,Blennidae,Blenniidae,http://eol.org/pages/5368,provided by Anne Thessen on 2015-06-05
420,blennids,Blennidae,common name,provided by Brian Hayden
421,blennioid,Blennioidei,common name,provided by Brian Hayden
422,blennioid fishes,Blennioidei,,provided by Brian Hayden et al. 2018-06-08
423,bloodworm pupa,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
424,bloodworms,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
425,blood worms,Glycera,,provided by Brian Hayden et al. 2018-06-08
426,Blue crab,Callinectes sapidus,common name,provided by Brian Hayden
427,blue-green algae,Cyanophycota,,Term corrected to scientific notation by BrianHayden
428,blue plastic,plastic,https://github.com/EnvironmentOntology/envo/blob/master/envo.obo,provided by Jorrit Poelen
429,BnthF1 skates rays,Chondrichthyes,,provided by Brian Hayden et al. 2018-06-08
430,BnthF2 fishes,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
431,BnthF7 grenadier,Macrouridae,,provided by Brian Hayden et al. 2018-06-08
432,Bocardiella sp. A,Boccardiella,Simons 1997,
433,Boeckella,Centropagidae,,provided by Brian Hayden et al. 2018-06-08
434,Bolbitius titubans var. titubans,Bolbitius titubans var. titubans,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Bolbitius%20titubans%20var.%20titubans&spKey=NHMSYS0019999407
435,Boletus luridiformis var. discolor,Boletus luridiformis var. discolor,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridiformis%20var.%20discolor&spKey=NHMSYS0001476001
436,Boletus luridiformis var. luridiformis,Boletus luridiformis var. luridiformis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridiformis%20var.%20luridiformis&spKey=NHMSYS0001476003
437,Boletus luridus var. luridus,Boletus luridus var. luridus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridus%20var.%20luridus&spKey=NHMSYS0001476005
438,Boletus luridus var. rubriceps,Boletus luridus var. rubriceps,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Boletus%20luridus%20var.%20rubriceps&spKey=BMSSYS0000002714
439,Bolimannia communis,Bollmannia communis,,provided by Brian Hayden et al. 2018-06-08
440,bony fishes,Osteichthyes,common name,provided by Brian Hayden
441,bony fish,Osteichthyes,,Term corrected to scientific notation by BrianHayden
442,Boreotrophon pacifica,Boreotrophon pacificus,,provided by Brian Hayden et al. 2018-06-08
443,Bosminopsis dietersi,Bosminopsis,,provided by Brian Hayden et al. 2018-06-08
444,Bossiella orbigiana,Bossiella orbigniana,http://eol.org/pages/922133/overview,suspected typo in Byrnes et al. 2011
445,BOTHIDAE Paralichthys sp.,Bothidae Paralichthys,,provided by Brian Hayden et al. 2018-06-08
446,Bothid spp.,Bothidae,,mapping provided by Brian Hayden
447,Botidae,Bothidae,,provided by Brian Hayden et al. 2018-06-08
448,botids,Botidae,common name,provided by Brian Hayden
449,bottom detritus,organic material,common name,provided by Brian Hayden
450,bottom-dwelling animals,animalia,,provided by Brian Hayden et al. 2018-06-08
451,bottom-dwelling fish,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
452,bottom-dwelling invertebrates,Arthropoda,common name,provided by Brian Hayden
453,bottom-dwelling organisms,animalia,,provided by Brian Hayden et al. 2018-06-08
454,bottom invertebrates,Arthropoda,common name,provided by Brian Hayden
455,bottom-living animal,animalia,,provided by Brian Hayden et al. 2018-06-08
456,bottom-living animals,animalia,,provided by Brian Hayden et al. 2018-06-08
457,bottom-living crustaceans,crustacea,,provided by Brian Hayden et al. 2018-06-08
458,bottom-living insects,insecta,,provided by Brian Hayden et al. 2018-06-08
459,bottom-living inverteb.,invertebrate,,provided by Brian Hayden et al. 2018-06-08
460,bottom-living invertebrates,invertebrate,,provided by Brian Hayden et al. 2018-06-08
461,bottom-living organisms,animalia,,provided by Brian Hayden et al. 2018-06-08
462,bottom sediments,inorganic material,common name,provided by Brian Hayden
463,Bowmaniella portorciensis,Bowmaniella portoricensis,Simons 1997,
464,boxfish,Ostracion cubicus,,provided by Brian Hayden et al. 2018-06-08
465,Brachiodontes exustus,Brachidontes exustus,,mapping provided by Brian Hayden
466,brachiopoda,Lophotrochozoa,,provided by Brian Hayden et al. 2018-06-08
467,brachiopod,Lophotrochozoa,,provided by Brian Hayden et al. 2018-06-08
468,brachiopods,brachiopoda,common name,provided by Brian Hayden
469,brachiurans,Brachyura,,provided by Brian Hayden et al. 2018-06-08
470,Brachrura,Brachyura,,provided by Brian Hayden et al. 2018-06-08
471,Brachura,Brachyura,,
472,Brachuya,Brachyura,typo,provided by Brian Hayden
473,brachyrid crabs,Brachyura,typo,provided by Brian Hayden
474,Brachyryncha,Brachyrhynchus,,provided by Brian Hayden et al. 2018-06-08
475,BRACHYURA-CANCRIDEA,Cancridae,,provided by Brian Hayden et al. 2018-06-08
476,brachyura larvae,Brachyura,Barnes 2008,
477,Brachyuran adults,Brachyura,common name,provided by Brian Hayden
478,brachyuran,Brachyura,common name,provided by Brian Hayden
479,brachyuran crabs,Brachyura,common name,provided by Brian Hayden
480,brachyuran crustacean,Brachyura,,provided by Brian Hayden et al. 2018-06-08
481,brachyuran crustaceans,Brachyura,,provided by Brian Hayden et al. 2018-06-08
482,brachyuran decapods,Brachyura,common name,provided by Brian Hayden
483,Brachyuran larvae,Brachyura,Wrast 2008,
484,brachyuran megalopa,Brachyura,common name,provided by Brian Hayden
485,brachyuran megalops,Brachyura,,provided by Brian Hayden et al. 2018-06-08
486,Brachyuran megalops,Brachyura,,provided by Brian Hayden et al. 2018-06-08
487,brachyurans,Brachyura,,provided by Brian Hayden et al. 2018-06-08
488,Brachyurans,Brachyura,,provided by Brian Hayden et al. 2018-06-08
489,Brachyura-unidentified,Brachyura,,provided by Brian Hayden et al. 2018-06-08
490,Bracyscelus crusculum,Brachyscelus crusculum,EOL; js,probably a spelling error or change in spelling by taxonomists
491,Branching Red Algae spp.,Algae,,mapping provided by Brian Hayden
492,Bregmaceros altanticus,Bregmaceros,,provided by Brian Hayden et al. 2018-06-08
493,bregmacerotids,Bregmacerotidae,typo,provided by Brian Hayden
494,Bregmacerous contori,Bregmaceros cantori,,
495,Bregmacerus,Bregmaceros,,provided by Brian Hayden et al. 2018-06-08
496,bresiliid shrimps,Caridae,common name,provided by Brian Hayden
497,Brevooria sp.,Brevoortia,common name,provided by Brian Hayden
498,brewery waste,Unidentified,,provided by Brian Hayden et al. 2018-06-08
499,brittle strars,Ophiuroidea,common name,provided by Brian Hayden
500,Brown plastic,inorganic,,provided by Brian Hayden et al. 2018-06-08
501,Brown Rock Shrimp,Sicyonia brevirostris,,
502,Broyozoan statoblasts,Bryozoa,common name,provided by Brian Hayden
503,bryophyte,Embryophyte,,provided by Brian Hayden et al. 2018-06-08
504,bryophytes,Embryophyte,,provided by Brian Hayden et al. 2018-06-08
505,bryozoa larvae,Bryozoan,Barnes 2008,
506,Bryozoan statoblasts,Bryozoa statoblasts,,provided by Brian Hayden et al. 2018-06-08
507,bryozoids,Bryozoa,common name,provided by Brian Hayden
508,Bryzoa,Bryozoa,http://eol.org/pages/2060,provided by Anne Thessen on 2015-06-05
509,buccinid gastropods,Buccinidae,,provided by Brian Hayden et al. 2018-06-08
510,Buccinulem heteromorpha,Buccinulum,typo,provided by Brian Hayden
511,Buccinulum,Buccinidae,,provided by Brian Hayden et al. 2018-06-08
512,bug,Arthropoda,,provided by Brian Hayden et al. 2018-06-08
513,Bulinus trigonus strigosus,Bulinus,,provided by Brian Hayden et al. 2018-06-08
514,burrowing invertebrates,invertebrate,,provided by Brian Hayden et al. 2018-06-08
515,butterfly,Rhopalocera,,provided by Brian Hayden et al. 2018-06-08
516,Bythinia tetraculata,Bithynia tentaculata,,provided by Brian Hayden et al. 2018-06-08
517,cabs megalops,Brachyura,common name,provided by Brian Hayden
518,cactus weevils,Gerstaeckeria,http://edis.ifas.ufl.edu/in688;  js,this genus has two species of cactus weevils
519,caddiesflies,Trichoptera,common name,provided by Brian Hayden
520,caddies fly,Trichoptera,common name,provided by Brian Hayden
521,caddis flies adult,Trichoptera,common name,provided by Brian Hayden
522,caddis flies larvae,Trichoptera,common name,provided by Brian Hayden
523,caddis-flies larvae,Trichoptera,common name,provided by Brian Hayden
524,caddis flies,Trichoptera,common name,provided by Brian Hayden
525,caddis-flies,Trichoptera,common name,provided by Brian Hayden
526,caddis flies tubes,Trichoptera,common name,provided by Brian Hayden
527,caddis larvae,Trichoptera,common name,provided by Brian Hayden
528,caddis,Trichoptera,common name,provided by Brian Hayden
529,Caelatura cridlandi,Caelatura,,provided by Brian Hayden et al. 2018-06-08
530,Caelatura hauttecoeri emini,Caelatura,,provided by Brian Hayden et al. 2018-06-08
531,Caelatura hauttecoeri grandidieri,Caelatura,,provided by Brian Hayden et al. 2018-06-08
532,Caelatura hauttecoeri hauttecoeri,Caelatura,,provided by Brian Hayden et al. 2018-06-08
533,Caelatura hauttecoeri ruellani,Caelatura,,provided by Brian Hayden et al. 2018-06-08
534,caenid larvae,Trichoptera,common name,provided by Brian Hayden
535,caenids mayflies larvae,Ephemeroptera,common name,provided by Brian Hayden
536,Cailianassa,Callianassa,,provided by Brian Hayden et al. 2018-06-08
537,calanids,Gymnoplea,,provided by Brian Hayden et al. 2018-06-08
538,calanipeda aquae-dulcis,Calanipeda aquaedulcis,,provided by Brian Hayden et al. 2018-06-08
539,Calanipeda aquae-dulcis,Calanipeda aquaedulcis,,provided by Brian Hayden et al. 2018-06-08
540,Calanoida copepoda,Calanoida,Akin et al 2006,
541,calanoida,Gymnoplea,,provided by Brian Hayden et al. 2018-06-08
542,calanoid  and poecilostomatoid,Calanoida,common name,provided by Brian Hayden
543,calanoid and poecilostomatoid copepods,Calanoida,common name,provided by Brian Hayden
544,calanoid,Calanoida,common name,provided by Brian Hayden
545,calanoid capepods,Gymnoplea,,provided by Brian Hayden et al. 2018-06-08
546,calanoid copeopds calanoid copepods,Gymnoplea,,provided by Brian Hayden et al. 2018-06-08
547,Calanoid copepoda,Gymnoplea,,provided by Brian Hayden et al. 2018-06-08
